latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,city
53.1449,-116.0953,310.2,3.0,1.7,2010-01-13,1941,Aqua,MODIS,32,6.03,269.0,74.0,D,0,Edson
53.1606,-116.0948,332.5,2.1,1.4,2010-01-13,2119,Aqua,MODIS,85,6.03,273.8,110.3,D,0,Edson
53.1589,-116.0994,339.1,2.1,1.4,2010-01-13,2119,Aqua,MODIS,89,6.03,274.2,142.7,D,0,Edson
53.7593,-116.713,303.2,1.1,1.0,2010-02-09,1911,Terra,MODIS,55,6.03,270.3,11.7,D,0,Edson
54.0686,-116.0972,305.4,2.8,1.6,2010-02-10,1953,Terra,MODIS,46,6.03,270.1,52.8,D,0,Edson
53.2421,-116.8497,335.6,1.0,1.0,2010-02-11,2048,Aqua,MODIS,78,6.03,274.5,42.5,D,0,Edson
53.2531,-116.8377,312.5,1.0,1.0,2010-02-11,2048,Aqua,MODIS,55,6.03,272.9,17.3,D,0,Edson
53.5057,-116.1478,306.4,1.0,1.0,2010-06-26,1905,Terra,MODIS,48,6.03,291.3,5.7,D,0,Edson
53.5936,-116.644,302.0,1.0,1.0,2010-07-23,2034,Aqua,MODIS,23,6.03,291.2,1.9,D,0,Edson
53.6474,-116.1633,302.5,1.0,1.0,2010-07-23,2034,Aqua,MODIS,35,6.03,291.5,2.8,D,0,Edson
53.2061,-116.8081,309.7,1.0,1.0,2010-08-20,0540,Terra,MODIS,78,6.03,272.9,14.8,N,0,Edson
53.5609,-116.5589,320.4,1.1,1.0,2010-10-07,1910,Terra,MODIS,80,6.03,290.4,19.5,D,0,Edson
53.5582,-116.5433,318.5,1.1,1.0,2010-10-07,1910,Terra,MODIS,79,6.03,290.2,17.6,D,0,Edson
53.2744,-115.9411,300.1,1.0,1.0,2010-10-09,1858,Terra,MODIS,29,6.03,290.1,4.1,D,0,Edson
53.3114,-116.9382,308.7,1.3,1.1,2010-10-20,1840,Terra,MODIS,68,6.03,277.6,16.7,D,0,Edson
53.174,-116.0785,321.5,3.5,1.8,2010-12-02,1959,Terra,MODIS,81,6.03,266.6,148.1,D,0,Edson
53.1599,-116.0317,343.5,3.5,1.8,2010-12-02,1959,Terra,MODIS,67,6.03,267.0,332.4,D,0,Edson
53.1655,-116.0322,329.7,3.5,1.8,2010-12-02,1959,Terra,MODIS,65,6.03,266.6,206.0,D,0,Edson
53.1654,-116.0912,307.4,3.5,1.8,2010-12-02,1959,Terra,MODIS,65,6.03,265.6,83.3,D,0,Edson
53.1514,-116.0444,332.1,3.5,1.8,2010-12-02,1959,Terra,MODIS,66,6.03,266.1,230.6,D,0,Edson
53.2179,-116.7821,321.8,1.7,1.3,2010-12-08,2111,Aqua,MODIS,0,6.03,266.6,55.1,D,0,Edson
53.0941,-116.3178,328.8,2.3,1.5,2010-12-13,1951,Aqua,MODIS,62,6.03,269.2,112.2,D,0,Edson
53.0907,-116.3192,318.2,2.3,1.5,2010-12-13,1951,Aqua,MODIS,60,6.03,270.0,74.2,D,0,Edson
53.0864,-116.3405,312.8,2.9,1.6,2010-12-13,2129,Aqua,MODIS,56,6.03,272.8,78.0,D,0,Edson
53.1905,-116.406,360.3,1.3,1.1,2011-01-25,1923,Terra,MODIS,100,6.03,277.9,141.5,D,0,Edson
53.1866,-116.3869,326.6,1.3,1.1,2011-01-25,1923,Terra,MODIS,84,6.03,275.8,45.3,D,0,Edson
53.188,-116.4123,315.7,3.6,1.8,2011-01-25,1933,Aqua,MODIS,64,6.03,276.8,111.2,D,0,Edson
53.1809,-116.4087,320.7,3.6,1.8,2011-01-25,1933,Aqua,MODIS,73,6.03,277.2,149.5,D,0,Edson
54.0482,-116.0598,331.1,1.9,1.3,2011-01-25,2111,Aqua,MODIS,84,6.03,270.7,86.9,D,0,Edson
54.0464,-116.088,311.8,1.9,1.3,2011-01-25,2111,Aqua,MODIS,51,6.03,270.7,38.0,D,0,Edson
53.9016,-116.058,308.6,1.2,1.1,2011-01-26,2016,Aqua,MODIS,49,6.03,271.5,15.8,D,0,Edson
53.8983,-116.0755,311.7,1.2,1.1,2011-01-26,2016,Aqua,MODIS,62,6.03,270.6,19.1,D,0,Edson
53.3687,-116.269,308.7,1.1,1.0,2011-01-27,0539,Terra,MODIS,62,6.03,267.8,14.7,N,0,Edson
53.3777,-116.2723,316.6,1.1,1.0,2011-01-27,0539,Terra,MODIS,91,6.03,267.3,20.9,N,0,Edson
53.5318,-116.2745,324.7,1.1,1.0,2011-01-27,1910,Terra,MODIS,83,6.03,276.4,29.7,D,0,Edson
53.5291,-116.2588,329.2,1.1,1.0,2011-01-27,1910,Terra,MODIS,86,6.03,277.2,35.5,D,0,Edson
53.526,-116.2679,309.6,1.3,1.1,2011-01-27,2058,Aqua,MODIS,69,6.03,278.5,19.2,D,0,Edson
53.5362,-116.2706,304.1,1.3,1.1,2011-01-27,2058,Aqua,MODIS,58,6.03,278.8,13.6,D,0,Edson
54.0302,-116.672,302.3,4.1,1.9,2011-02-02,2011,Terra,MODIS,52,6.03,271.4,73.6,D,0,Edson
53.5213,-116.2302,332.4,1.1,1.1,2011-02-02,2022,Aqua,MODIS,88,6.03,273.1,43.6,D,0,Edson
54.0131,-116.6591,319.4,1.1,1.1,2011-02-02,2022,Aqua,MODIS,75,6.03,274.7,26.3,D,0,Edson
54.009,-116.0448,329.2,1.0,1.0,2011-02-09,2028,Aqua,MODIS,77,6.03,269.3,32.3,D,0,Edson
